s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 5.9261787E+001, 0.0000000E+000,-3.5250244E-001,-4.3692094E+000,-2.5126300E-001, 9.0097705E-017, 0.0000000E+000, 0.0000000E+000,-9.3746282E+000,-4.9729748E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.9828522E+001, 0.0000000E+000,-3.4190387E-001,-4.2474377E+000,-2.4692917E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2705686E+000,-4.8362707E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0395260E+001, 0.0000000E+000,-3.5029202E-001,-4.1322673E+000,-2.1656006E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1569071E+000,-4.6991194E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0961998E+001, 0.0000000E+000,-3.3993053E-001,-4.0203006E+000,-2.1117201E-001,-4.3017799E-017, 0.0000000E+000, 0.0000000E+000,-9.0644789E+000,-4.5714031E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1528732E+001, 0.0000000E+000,-3.2967618E-001,-3.9140885E+000,-2.0335314E-001, 4.2424249E-017, 0.0000000E+000, 0.0000000E+000,-8.9713449E+000,-4.4471178E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2095470E+001, 0.0000000E+000,-3.3850191E-001,-3.8089858E+000,-1.9129546E-001, 4.1849215E-017, 0.0000000E+000, 0.0000000E+000,-8.8792002E+000,-4.3387832E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2662205E+001, 0.0000000E+000,-3.2842404E-001,-3.7129307E+000,-1.9861946E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8180035E+000,-4.2399742E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3228943E+001, 0.0000000E+000,-3.1843662E-001,-3.6198980E+000,-1.7072297E-001,-8.1693389E-017, 0.0000000E+000, 0.0000000E+000,-8.7393546E+000,-4.1090576E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3795681E+001, 0.0000000E+000,-3.2756260E-001,-3.5330233E+000,-1.6146378E-001,-4.0390998E-017, 0.0000000E+000, 0.0000000E+000,-8.6523678E+000,-4.0220497E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4362419E+001, 0.0000000E+000,-3.1774426E-001,-3.4535278E+000,-1.4848951E-001,-3.9941749E-017, 0.0000000E+000, 0.0000000E+000,-8.5922826E+000,-3.9197616E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4929153E+001, 0.0000000E+000,-3.0801776E-001,-3.3791010E+000,-1.3415498E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5123236E+000,-3.8212737E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.5495888E+001, 0.0000000E+000,-3.1628206E-001,-3.3056218E+000,-1.3220369E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4438135E+000,-3.7541075E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6062630E+001, 0.0000000E+000,-3.0668681E-001,-3.2342341E+000,-1.2589373E-001, 3.8791475E-017, 0.0000000E+000, 0.0000000E+000,-8.3981762E+000,-3.6668146E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6629364E+001, 0.0000000E+000,-2.9716043E-001,-3.1689593E+000,-1.2181839E-001, 3.8445212E-017, 0.0000000E+000, 0.0000000E+000,-8.3382454E+000,-3.5879382E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7196098E+001, 0.0000000E+000,-3.0394986E-001,-3.1086624E+000,-1.1166822E-001, 3.8129470E-017, 0.0000000E+000, 0.0000000E+000,-8.2726329E+000,-3.5242804E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7762840E+001, 0.0000000E+000,-2.9454969E-001,-3.0413618E+000,-1.0463719E-001, 3.7812311E-017, 0.0000000E+000, 0.0000000E+000,-8.2283888E+000,-3.4405487E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8329575E+001, 0.0000000E+000,-2.8520764E-001,-2.9822029E+000,-9.8236873E-002, 3.7531559E-017, 0.0000000E+000, 0.0000000E+000,-8.1778027E+000,-3.3656474E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8896309E+001, 0.0000000E+000,-2.9252291E-001,-2.9267842E+000,-9.3866097E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1201132E+000,-3.3131732E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9463043E+001, 0.0000000E+000,-2.8328165E-001,-2.8711570E+000,-9.3891931E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0900753E+000,-3.2483306E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E+001, 0.0000000E+000,-2.7457114E-001,-2.8287048E+000,-8.7376096E-002, 3.6733185E-017, 0.0000000E+000, 0.0000000E+000,-8.0486532E+000,-3.1906520E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
