s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 2.8225048E+000, 0.0000000E+000,-2.4230738E-004, 4.6117204E-004, 4.2962226E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4263493E-004, 2.2316089E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9354050E+000, 0.0000000E+000,-2.4225234E-004, 4.7306348E-004, 4.2777953E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4243959E-004, 2.3508893E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0483050E+000, 0.0000000E+000,-1.7240172E-004, 4.9345210E-004, 4.3385322E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4224305E-004, 3.2538891E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1612053E+000, 0.0000000E+000,-1.7236290E-004, 5.0427114E-004, 4.4184400E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7101466E-004, 3.3632668E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2741055E+000, 0.0000000E+000,-1.7232413E-004, 4.9541508E-004, 4.4065028E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7078742E-004, 3.2749746E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3870056E+000, 0.0000000E+000,-1.7234507E-004, 4.7899432E-004, 4.4184671E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7055035E-004, 3.1106772E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4999058E+000, 0.0000000E+000,-1.7230639E-004, 4.4208408E-004, 4.4563013E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7036733E-004, 2.7423399E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6128061E+000, 0.0000000E+000,-1.7226777E-004, 4.0731217E-004, 4.4963926E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7014242E-004, 2.3954079E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7257063E+000, 0.0000000E+000,-8.1644160E-005, 3.5420206E-004, 4.4736349E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6986568E-004, 2.7703153E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8386064E+000, 0.0000000E+000,-8.1626570E-005, 2.6990328E-004, 4.5295281E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7483836E-005, 1.9280623E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
